,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
10,120,5.0,26.0,5858,2,2,1,1.0,4,1,26,3,3,4,1,7,5,1999,1999,2,2,9.0,9.0,4.0,0.0,2,3,3,2.0,3.0,4.0,1.0,1051.0,3.0,0.0,354.0,1405.0,2,1,1,1,1337,0,0,1337,1.0,0.0,2,0,2,1,2.0,5,1.0,1,4.0,2.0,1999.0,1.0,2.0,511.0,3.0,3.0,2,203,68,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
11,160,8.0,21.0,1680,2,1,1,1.0,1,1,3,3,3,5,4,6,5,1971,1971,2,2,7.0,7.0,2.0,504.0,3,3,2,3.0,3.0,4.0,4.0,156.0,6.0,0.0,327.0,483.0,2,3,1,1,483,504,0,987,0.0,0.0,1,1,2,1,3.0,5,1.0,0,0.0,6.0,1971.0,3.0,1.0,264.0,3.0,3.0,2,275,0,0,0,0,0,0.0,0.0,6.0,0,2,2010,5.0,1
12,160,8.0,21.0,1680,2,1,1,1.0,1,1,3,3,3,5,4,5,5,1971,1971,2,2,7.0,7.0,2.0,492.0,3,3,2,3.0,3.0,4.0,4.0,300.0,6.0,0.0,225.0,525.0,2,3,1,1,525,567,0,1092,0.0,0.0,1,1,3,1,3.0,6,1.0,0,0.0,6.0,1997.0,3.0,1.0,320.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,6.0,0,3,2010,1.0,1
13,160,6.0,24.0,2280,2,1,1,1.0,4,1,15,3,3,5,4,6,6,1975,1975,2,2,11.0,20.0,4.0,0.0,3,3,2,3.0,3.0,4.0,2.0,514.0,6.0,0.0,341.0,855.0,2,3,1,1,855,601,0,1456,0.0,0.0,2,1,3,1,2.0,6,1.0,1,3.0,2.0,1975.0,3.0,2.0,440.0,3.0,3.0,2,173,0,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
14,120,6.0,24.0,2280,2,1,1,1.0,4,1,15,3,3,5,1,7,6,1975,1975,2,2,11.0,20.0,4.0,0.0,3,3,2,2.0,3.0,4.0,6.0,0.0,6.0,0.0,836.0,836.0,2,1,1,1,836,0,0,836,0.0,0.0,1,0,2,1,3.0,4,1.0,0,0.0,2.0,1975.0,3.0,1.0,308.0,3.0,3.0,2,0,30,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
15,60,6.0,102.0,12858,2,2,1,1.0,1,1,16,3,3,1,4,9,5,2009,2010,2,2,16.0,16.0,5.0,162.0,1,3,3,1.0,3.0,4.0,6.0,0.0,6.0,0.0,1590.0,1590.0,2,1,1,1,1627,707,0,2334,0.0,0.0,2,1,3,1,1.0,10,1.0,1,2.0,2.0,2009.0,1.0,3.0,751.0,3.0,3.0,2,144,133,0,0,0,0,0.0,0.0,6.0,0,1,2010,4.0,6
16,20,6.0,94.0,12883,2,2,1,1.0,2,1,16,3,3,1,1,8,5,2009,2010,2,2,16.0,16.0,5.0,256.0,2,3,3,2.0,3.0,4.0,6.0,0.0,6.0,0.0,1544.0,1544.0,2,1,1,1,1544,0,0,1544,0.0,0.0,2,0,3,1,2.0,7,1.0,0,0.0,2.0,2009.0,2.0,3.0,868.0,3.0,3.0,2,0,35,0,0,0,0,0.0,0.0,6.0,0,6,2010,4.0,6
17,20,6.0,90.0,11520,2,1,1,1.0,1,1,16,6,3,1,1,9,5,2005,2005,4,2,16.0,16.0,2.0,615.0,2,3,3,1.0,3.0,4.0,1.0,110.0,6.0,0.0,1588.0,1698.0,2,1,1,1,1698,0,0,1698,0.0,0.0,2,0,3,1,1.0,7,1.0,1,2.0,2.0,2005.0,1.0,3.0,730.0,3.0,3.0,2,192,74,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
18,20,6.0,79.0,14122,2,2,1,1.0,1,1,16,3,3,1,1,8,5,2005,2006,4,2,6.0,6.0,2.0,240.0,2,3,3,1.0,3.0,4.0,1.0,28.0,6.0,0.0,1794.0,1822.0,2,1,1,1,1822,0,0,1822,0.0,0.0,2,0,3,1,1.0,8,1.0,1,2.0,2.0,2005.0,2.0,3.0,678.0,3.0,3.0,2,0,119,0,0,0,0,0.0,0.0,6.0,0,2,2010,1.0,1
19,20,6.0,110.0,14300,2,1,3,1.0,1,2,16,3,3,1,1,9,5,2003,2004,4,2,16.0,16.0,2.0,1095.0,1,3,3,1.0,3.0,1.0,1.0,1373.0,6.0,0.0,1473.0,2846.0,2,1,1,1,2696,0,0,2696,1.0,0.0,2,1,3,1,1.0,10,1.0,2,2.0,2.0,2003.0,1.0,3.0,958.0,3.0,3.0,2,220,150,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
20,60,6.0,105.0,13650,2,1,1,1.0,2,1,16,3,3,1,4,8,5,2002,2002,2,2,16.0,16.0,2.0,232.0,2,3,3,2.0,3.0,1.0,1.0,578.0,6.0,0.0,1093.0,1671.0,2,1,1,1,1687,563,0,2250,1.0,0.0,2,1,3,1,2.0,7,1.0,1,1.0,2.0,2002.0,1.0,3.0,756.0,3.0,3.0,2,238,130,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
21,120,6.0,41.0,7132,2,2,1,1.0,1,1,16,3,3,4,1,8,5,2006,2006,2,2,16.0,16.0,5.0,178.0,2,3,3,2.0,3.0,3.0,1.0,24.0,6.0,0.0,1346.0,1370.0,2,1,1,1,1370,0,0,1370,0.0,0.0,2,0,2,1,2.0,6,1.0,1,2.0,2.0,2006.0,2.0,2.0,484.0,3.0,3.0,2,120,49,0,0,0,0,0.0,0.0,6.0,0,4,2010,1.0,1
22,20,6.0,100.0,18494,2,2,1,1.0,2,1,9,3,3,1,1,6,5,2005,2005,2,2,16.0,16.0,4.0,0.0,2,3,3,2.0,3.0,4.0,6.0,0.0,6.0,0.0,1324.0,1324.0,2,1,1,1,1324,0,0,1324,0.0,0.0,2,0,3,1,2.0,6,1.0,0,0.0,2.0,2005.0,1.0,2.0,430.0,3.0,3.0,2,36,23,0,0,0,0,0.0,0.0,6.0,0,1,2010,1.0,1
23,120,6.0,43.0,3203,2,1,1,1.0,1,1,1,3,3,4,1,7,5,2006,2006,2,2,16.0,16.0,2.0,14.0,2,3,3,2.0,3.0,2.0,1.0,16.0,6.0,0.0,1129.0,1145.0,2,1,1,1,1145,0,0,1145,0.0,0.0,2,0,2,1,2.0,6,1.0,0,0.0,2.0,2006.0,1.0,2.0,437.0,3.0,3.0,2,100,116,0,0,0,0,0.0,0.0,6.0,0,1,2010,1.0,1
24,80,6.0,67.0,13300,2,2,1,1.0,1,1,9,3,3,1,8,7,5,2004,2004,2,2,16.0,16.0,4.0,0.0,2,3,3,2.0,3.0,4.0,1.0,326.0,6.0,0.0,58.0,384.0,2,1,1,1,744,630,0,1374,1.0,0.0,2,1,3,1,2.0,7,1.0,1,2.0,4.0,2004.0,1.0,2.0,400.0,3.0,3.0,2,100,0,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
25,60,6.0,63.0,8577,2,2,1,1.0,1,1,9,3,3,1,4,7,5,2004,2004,2,2,16.0,16.0,4.0,0.0,2,3,3,2.0,3.0,4.0,6.0,0.0,6.0,0.0,847.0,847.0,2,1,1,1,847,886,0,1733,0.0,0.0,2,1,3,1,2.0,7,1.0,1,2.0,4.0,2004.0,1.0,2.0,433.0,3.0,3.0,2,144,48,0,0,0,0,0.0,0.0,6.0,0,4,2010,1.0,1
26,60,6.0,60.0,17433,2,3,1,1.0,3,1,14,3,3,1,4,8,5,1998,1998,4,2,16.0,16.0,2.0,114.0,2,3,3,1.0,3.0,4.0,6.0,0.0,6.0,0.0,1629.0,1629.0,2,1,1,1,1645,830,0,2475,0.0,0.0,2,1,4,1,2.0,7,1.0,1,3.0,2.0,1998.0,1.0,3.0,962.0,3.0,3.0,2,23,172,0,0,256,0,0.0,0.0,6.0,0,1,2010,1.0,1
27,20,6.0,73.0,8987,2,1,1,1.0,1,1,22,3,3,1,1,8,5,2005,2006,2,2,16.0,16.0,2.0,226.0,2,3,3,2.0,3.0,0.0,6.0,0.0,6.0,0.0,1595.0,1595.0,2,1,1,1,1595,0,0,1595,0.0,0.0,2,0,2,1,2.0,6,1.0,1,2.0,2.0,2005.0,2.0,3.0,880.0,3.0,3.0,2,144,0,0,0,0,0,0.0,0.0,6.0,0,5,2010,1.0,1
28,20,3.0,92.0,9215,2,1,1,1.0,1,1,22,3,3,1,1,7,5,2009,2010,4,2,16.0,16.0,4.0,0.0,2,3,3,2.0,3.0,4.0,6.0,0.0,6.0,0.0,1218.0,1218.0,2,1,1,1,1218,0,0,1218,0.0,0.0,2,0,2,1,2.0,4,1.0,0,0.0,2.0,2009.0,2.0,2.0,676.0,3.0,3.0,2,0,136,0,0,0,0,0.0,0.0,6.0,0,4,2010,4.0,6
29,20,3.0,84.0,10440,2,1,1,1.0,2,1,22,3,3,1,1,6,5,2005,2005,2,2,16.0,16.0,4.0,0.0,2,3,3,1.0,3.0,4.0,1.0,1414.0,6.0,0.0,54.0,1468.0,2,1,1,1,1468,0,0,1468,1.0,0.0,2,0,2,1,2.0,6,1.0,1,2.0,2.0,2005.0,1.0,2.0,528.0,3.0,3.0,2,0,102,0,0,216,0,0.0,0.0,6.0,0,5,2010,1.0,1
30,60,6.0,70.0,11920,2,1,1,1.0,1,1,21,3,3,1,4,7,5,2004,2004,2,2,16.0,16.0,2.0,122.0,2,3,3,2.0,3.0,2.0,6.0,0.0,6.0,0.0,831.0,831.0,2,1,1,1,831,828,0,1659,0.0,0.0,2,1,3,1,2.0,8,1.0,0,0.0,2.0,2004.0,2.0,2.0,484.0,3.0,3.0,2,144,68,0,0,0,0,0.0,0.0,6.0,0,4,2010,1.0,1
31,30,5.0,70.0,9800,2,1,1,1.0,2,1,21,2,3,1,1,5,5,1920,1950,2,2,17.0,17.0,4.0,0.0,3,4,1,3.0,3.0,4.0,6.0,0.0,6.0,0.0,816.0,816.0,2,3,0,2,1012,0,0,1012,0.0,0.0,1,0,2,1,3.0,5,1.0,0,0.0,6.0,1920.0,3.0,1.0,429.0,3.0,3.0,2,121,0,80,0,0,0,0.0,0.0,6.0,0,4,2010,1.0,1
32,20,6.0,39.0,15410,2,2,1,1.0,3,1,20,8,3,1,1,6,6,1974,2002,4,2,11.0,11.0,1.0,250.0,3,2,2,3.0,3.0,1.0,3.0,126.0,1.0,859.0,223.0,1208.0,2,1,1,1,1494,0,0,1494,1.0,0.0,2,0,3,1,3.0,7,1.0,2,4.0,2.0,1974.0,1.0,2.0,461.0,3.0,3.0,2,296,0,186,0,0,0,0.0,1.0,6.0,0,4,2010,1.0,2
33,60,6.0,85.0,13143,2,2,1,1.0,1,1,14,3,3,1,4,8,5,1993,1993,2,2,7.0,8.0,2.0,504.0,2,3,3,2.0,3.0,4.0,5.0,250.0,1.0,981.0,0.0,1231.0,2,1,1,1,1251,1098,0,2349,1.0,0.0,2,1,4,1,2.0,9,1.0,1,3.0,2.0,1993.0,2.0,3.0,762.0,3.0,3.0,2,32,130,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
34,60,6.0,88.0,11134,2,1,1,1.0,1,1,14,3,3,1,4,8,5,1992,1993,2,2,7.0,7.0,2.0,180.0,2,3,3,2.0,3.0,4.0,1.0,1129.0,6.0,0.0,261.0,1390.0,2,1,1,1,1402,823,0,2225,1.0,0.0,2,1,4,1,2.0,7,1.0,1,3.0,2.0,1992.0,2.0,3.0,713.0,3.0,3.0,2,198,30,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
35,120,3.0,25.0,4835,2,2,1,1.0,3,1,22,3,3,4,1,7,5,2004,2005,2,2,9.0,9.0,4.0,0.0,2,3,3,1.0,3.0,2.0,1.0,1298.0,6.0,0.0,190.0,1488.0,2,1,1,1,1488,0,0,1488,1.0,0.0,2,0,2,1,2.0,6,1.0,1,2.0,2.0,2004.0,1.0,2.0,506.0,3.0,3.0,2,168,50,0,0,0,0,0.0,0.0,6.0,0,3,2010,1.0,1
36,160,3.0,39.0,3515,2,1,1,1.0,1,1,22,3,3,4,4,7,5,2004,2004,2,2,16.0,16.0,4.0,0.0,2,3,3,2.0,3.0,4.0,6.0,0.0,6.0,0.0,840.0,840.0,2,1,1,1,840,840,0,1680,0.0,0.0,2,1,2,1,2.0,3,1.0,0,0.0,2.0,2004.0,2.0,2.0,588.0,3.0,3.0,2,0,111,0,0,0,0,0.0,0.0,6.0,0,1,2010,1.0,1
37,160,3.0,30.0,3215,2,1,1,1.0,1,1,22,3,3,4,4,7,5,2004,2004,2,2,9.0,9.0,2.0,120.0,2,3,3,2.0,3.0,2.0,1.0,280.0,6.0,0.0,320.0,600.0,2,1,1,1,600,600,0,1200,0.0,0.0,2,1,2,1,2.0,4,1.0,0,0.0,6.0,2004.0,2.0,2.0,480.0,3.0,3.0,2,0,172,0,0,0,0,0.0,0.0,6.0,0,4,2010,9.0,1
38,160,3.0,24.0,2544,2,1,1,1.0,1,1,22,3,3,5,4,7,5,2004,2005,2,2,9.0,9.0,4.0,0.0,2,3,3,2.0,3.0,4.0,1.0,368.0,2.0,42.0,190.0,600.0,2,1,1,1,600,600,0,1200,1.0,0.0,2,1,2,1,2.0,4,1.0,0,0.0,6.0,2004.0,2.0,2.0,480.0,3.0,3.0,2,0,172,0,0,0,0,0.0,0.0,6.0,0,2,2010,1.0,1
39,160,3.0,24.0,2544,2,1,1,1.0,1,1,22,3,3,5,4,6,5,2005,2005,2,2,16.0,16.0,2.0,216.0,2,3,3,2.0,3.0,4.0,1.0,376.0,6.0,0.0,224.0,600.0,2,1,1,1,600,636,0,1236,1.0,0.0,2,1,2,1,2.0,4,1.0,0,0.0,6.0,2005.0,2.0,2.0,480.0,3.0,3.0,2,0,166,0,0,0,0,0.0,0.0,6.0,0,5,2010,1.0,1
40,160,3.0,0.0,2980,2,1,1,1.0,2,1,22,3,3,4,4,6,5,2000,2000,2,2,9.0,9.0,2.0,1159.0,2,3,3,2.0,3.0,4.0,1.0,466.0,6.0,0.0,290.0,756.0,2,1,1,1,756,756,0,1512,1.0,0.0,2,1,2,1,2.0,5,1.0,0,0.0,6.0,2000.0,3.0,2.0,440.0,3.0,3.0,2,0,32,0,0,0,0,0.0,0.0,6.0,0,5,2010,1.0,1
41,160,3.0,0.0,2403,2,2,1,1.0,4,1,22,3,3,4,4,7,5,2003,2003,2,2,16.0,16.0,4.0,0.0,2,3,3,2.0,3.0,4.0,1.0,244.0,6.0,0.0,286.0,530.0,2,1,1,1,530,550,0,1080,0.0,0.0,2,1,2,1,2.0,4,1.0,0,0.0,2.0,2003.0,2.0,2.0,496.0,3.0,3.0,2,0,50,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
42,20,3.0,57.0,12853,2,2,1,1.0,1,1,22,3,3,1,1,8,5,2010,2010,2,2,6.0,6.0,4.0,0.0,2,3,3,1.0,5.0,4.0,1.0,1032.0,6.0,0.0,610.0,1642.0,2,1,1,1,1418,0,0,1418,1.0,0.0,1,1,1,1,2.0,6,1.0,1,2.0,2.0,2010.0,2.0,3.0,852.0,3.0,3.0,2,160,192,0,224,0,0,0.0,0.0,6.0,0,4,2010,4.0,6
43,60,3.0,68.0,7379,2,2,1,1.0,1,1,22,3,3,1,4,8,5,2000,2000,2,2,16.0,16.0,4.0,0.0,2,3,3,2.0,3.0,4.0,1.0,484.0,6.0,0.0,491.0,975.0,2,1,1,1,975,873,0,1848,1.0,0.0,2,1,3,1,2.0,7,1.0,1,3.0,2.0,2000.0,2.0,2.0,592.0,3.0,3.0,2,280,184,0,0,0,0,0.0,0.0,6.0,0,4,2010,1.0,1
44,20,3.0,80.0,8000,2,1,1,1.0,1,1,22,3,3,1,1,7,5,2002,2002,2,2,16.0,16.0,4.0,0.0,2,3,3,2.0,3.0,4.0,1.0,833.0,6.0,0.0,659.0,1492.0,2,1,1,1,1492,0,0,1492,1.0,0.0,2,0,3,1,2.0,6,1.0,1,2.0,2.0,2002.0,2.0,2.0,596.0,3.0,3.0,2,277,137,0,0,0,0,0.0,0.0,6.0,0,4,2010,1.0,1
45,20,6.0,0.0,10456,2,2,1,1.0,1,1,17,3,3,1,1,6,6,1967,1967,4,2,7.0,7.0,2.0,120.0,3,3,2,3.0,3.0,4.0,1.0,506.0,6.0,0.0,1323.0,1829.0,2,2,1,1,1829,0,0,1829,1.0,0.0,2,0,4,1,3.0,8,1.0,0,0.0,2.0,1967.0,2.0,2.0,535.0,3.0,3.0,2,0,76,0,0,0,0,0.0,0.0,6.0,0,5,2010,1.0,1
46,60,6.0,80.0,10791,2,1,1,1.0,1,1,17,3,3,1,4,6,5,1993,1993,2,2,9.0,9.0,4.0,0.0,3,3,3,2.0,3.0,3.0,1.0,1137.0,6.0,0.0,143.0,1280.0,2,1,1,1,1280,1215,0,2495,1.0,0.0,2,1,4,1,2.0,9,1.0,1,3.0,2.0,1993.0,3.0,2.0,660.0,3.0,3.0,2,224,32,0,0,0,0,0.0,0.0,6.0,0,3,2010,1.0,1
47,50,6.0,0.0,18837,2,2,1,1.0,1,1,17,3,3,1,2,6,5,1978,1978,2,2,9.0,9.0,4.0,0.0,3,3,3,2.0,3.0,3.0,2.0,687.0,5.0,46.0,491.0,1224.0,2,3,1,1,1287,604,0,1891,0.0,1.0,3,0,3,1,3.0,7,1.0,1,3.0,2.0,1978.0,2.0,2.0,678.0,3.0,3.0,2,0,69,0,0,0,0,0.0,0.0,6.0,0,4,2010,1.0,1
48,60,6.0,80.0,9600,2,1,1,1.0,1,1,17,3,3,1,4,6,6,1971,1971,2,2,9.0,9.0,4.0,0.0,3,3,2,3.0,3.0,4.0,2.0,329.0,6.0,0.0,386.0,715.0,2,3,1,1,930,715,0,1645,0.0,0.0,1,2,4,1,3.0,7,1.0,0,0.0,2.0,1971.0,2.0,2.0,441.0,3.0,3.0,2,0,78,0,0,0,0,0.0,3.0,6.0,0,6,2010,1.0,1
49,20,6.0,80.0,9600,2,1,1,1.0,1,1,26,3,3,1,1,5,5,1966,1966,4,2,16.0,16.0,2.0,172.0,3,3,2,3.0,3.0,4.0,4.0,698.0,6.0,0.0,534.0,1232.0,2,3,1,1,1232,0,0,1232,1.0,0.0,1,1,3,1,3.0,6,1.0,0,0.0,2.0,1966.0,2.0,2.0,490.0,3.0,3.0,2,0,224,0,0,0,0,0.0,0.0,6.0,0,4,2010,1.0,1
50,20,6.0,90.0,9900,2,1,1,1.0,2,1,26,3,3,1,1,5,5,1966,1966,4,2,7.0,7.0,4.0,0.0,3,3,3,2.0,3.0,4.0,3.0,1059.0,6.0,0.0,150.0,1209.0,2,2,1,1,1209,0,0,1209,1.0,0.0,1,0,3,1,3.0,6,1.0,0,0.0,2.0,1966.0,2.0,2.0,504.0,3.0,3.0,2,0,0,120,0,0,0,0.0,0.0,6.0,0,4,2010,9.0,1
51,20,6.0,88.0,9680,2,1,1,1.0,1,1,26,3,3,1,1,5,6,1967,1967,2,2,17.0,11.0,2.0,268.0,3,3,2,3.0,3.0,4.0,3.0,1010.0,6.0,0.0,500.0,1510.0,2,1,1,1,1510,0,0,1510,1.0,0.0,2,0,3,1,2.0,6,1.0,0,0.0,2.0,1967.0,2.0,2.0,517.0,3.0,3.0,2,0,40,0,0,204,0,0.0,1.0,6.0,0,4,2010,1.0,1
52,80,6.0,0.0,10600,2,2,1,1.0,1,1,26,3,3,1,8,6,5,1964,1964,2,2,7.0,7.0,4.0,0.0,3,3,2,3.0,3.0,4.0,6.0,0.0,6.0,0.0,533.0,533.0,2,3,1,1,1131,644,0,1775,0.0,0.0,2,0,3,1,3.0,8,1.0,0,0.0,2.0,1964.0,3.0,2.0,480.0,3.0,3.0,2,0,172,0,0,0,0,0.0,0.0,6.0,0,5,2010,5.0,5
53,90,6.0,98.0,13260,2,2,1,1.0,1,1,26,3,3,3,1,5,6,1962,2001,4,2,7.0,7.0,2.0,144.0,3,3,2,3.0,3.0,4.0,3.0,1500.0,6.0,0.0,228.0,1728.0,2,3,1,1,1728,0,0,1728,2.0,0.0,2,0,6,2,3.0,10,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0.0,0.0,6.0,0,1,2010,10.0,2
54,50,6.0,68.0,9724,2,1,1,1.0,1,1,26,3,3,1,2,5,7,1952,2002,2,2,9.0,9.0,2.0,265.0,2,3,2,3.0,3.0,4.0,5.0,670.0,6.0,0.0,470.0,1140.0,2,2,1,1,1929,532,0,2461,0.0,0.0,2,0,3,1,3.0,7,3.0,2,2.0,6.0,1994.0,3.0,2.0,400.0,3.0,3.0,2,0,0,0,0,0,0,0.0,3.0,6.0,0,3,2010,1.0,1
55,50,6.0,120.0,17360,2,1,1,1.0,2,1,26,1,3,1,2,6,6,1949,1950,2,2,9.0,9.0,5.0,340.0,3,2,2,3.0,3.0,4.0,4.0,300.0,6.0,0.0,482.0,782.0,2,3,1,1,1019,537,0,1556,0.0,0.0,2,0,3,1,3.0,6,1.0,1,2.0,2.0,1949.0,3.0,2.0,470.0,3.0,3.0,2,0,0,150,0,0,0,0.0,0.0,6.0,0,1,2010,1.0,1
